STT,Năm,Tên chung cư,Nhu cầu,Quận,Phường,Đường,Diện tích - m2,Mức giá - Tỷ,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Pháp lý,View,Hướng ban công,Đặc trưng
1,2022,Zenity,Cần bán,Quận 1,Cầu Kho,Võ Văn Kiệt,164,16.4,,,4,4,Đầy đủ,Sổ đỏ/Sổ hồng,Hồ bơi,,
2,2022,Zenity,Cần bán,Quận 1,Cầu Kho,Võ Văn Kiệt,110,14.1,,5,3,2,Đầy đủ,,,,
3,2022,Zenity,Cần bán,Quận 1,Cầu Kho,Võ Văn Kiệt,77,9.8,,,2,2,Đầy đủ,,,,
4,2022,Zenity,Cần bán,Quận 1,Cầu Kho,Võ Văn Kiệt,77,10,Đông - Nam,,2,2,Đầy đủ,Hợp đồng mua bán,,Tây - Bắc,
5,2022,Zenity,Cần bán,Quận 1,Cầu Kho,Võ Văn Kiệt,77,9.8,,,2,2,Đầy đủ,Sổ đỏ/Sổ hồng,,,
6,2022,Zenity,Cần bán,Quận 1,Cầu Kho,Võ Văn Kiệt,77,8.292,Đông - Nam,,2,2,Đầy đủ,Hợp đồng mua bán,,Tây - Bắc,
7,2022,,Cần bán,Quận 1,Phường 1,Tôn Thất Thuyết,59,5,Đông - Nam,,1,1,Cơ bản,Hợp đồng mua bán,Sông,,
8,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,49.5,4.8,,,1,,Cơ bản,,,,
9,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,48,5.25,,,1,,Đầy đủ,,,,
10,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,50,5.6,,,1,,Đầy đủ,,Bitexco,,
11,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,53,6.6,,,1,,Đầy đủ,Hợp đồng mua bán,,,
12,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,50,6.1,,,1,,Cơ bản,,,,
13,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,49.5,7,,,1,,Đầy đủ,,,,
14,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,68,7.6,,,2,,Đầy đủ,,,,
15,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,68,7.5,,,2,,Đầy đủ,,,,
16,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,72,8.2,,,2,,,,L81,,
17,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,74,8.8,,,2,,,Hợp đồng mua bán,,,
18,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,78.5,10.7,,,2,,Cơ bản,Sổ đỏ/Sổ hồng,,,
19,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,78.5,13.5,,,2,,Đầy đủ,Sổ đỏ/Sổ hồng,Bitexco,,
20,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,79.5,16,,,2,,Đầy đủ,Sổ đỏ/Sổ hồng,Bitexco,,
21,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,100,14.5,,,3,,Đầy đủ,,,,
22,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,110,16.5,,,3,,Đầy đủ,Hợp đồng mua bán,,,
23,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,105,17.6,,,3,,Đầy đủ,Sổ đỏ/Sổ hồng,,,
24,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,121,18.5,,,3,,Cơ bản,,,,
25,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,121,26,,,3,,Cơ bản,,Bitexco,,
26,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,121,22,,,3,,Đầy đủ,,,,
27,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,118,19,,,3,,Đầy đủ,Hợp đồng mua bán,,,
28,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,121,27,,,3,,Đầy đủ,,,,
29,2022,Vinhomes Golden River Ba Son,Cần bán,Quận 1,Bến Nghé,Tôn Đức Thắng,160,42,,,4,,,Hợp đồng mua bán,Bitexco,,
