STT,Năm,Nhu cầu,Quận,Phường,Đường,Diện tích - m2,Mức giá - Tỷ,Số lầu,Hướng nhà,Hướng ban công,Mặt tiền - m,Nội thất,Đường vào - m,Số phòng ngủ,Số toilet,Pháp lý
1,2022,Cần bán,Quận 1,Phạm Ngũ Lão,Nguyễn Thị Minh Khai,100,50,6,,,7,,,,,
2,2022,Cần bán,Quận 1,Đa Kao,Nguyễn Bỉnh Khiêm,64.8,15,3,Tây - Bắc,Tây - Bắc,,Cơ bản,300,3,3,Sổ đỏ/ Sổ hồng
3,2022,Cần bán,Quận 1,Tân Định,Võ Thị Sáu,51.8,23,4,,,,Cơ bản,,,,Sổ đỏ/ Sổ hồng
4,2022,Cần bán,Quận 1,Tân Định,Trần Quang Khải,136.8,49,6,Nam,Nam,8,,10,10,10,Sổ đỏ/ Sổ hồng
5,2022,Cần bán,Quận 1,Cầu Kho,Nguyễn Cảnh Chân,40,6.5,3,,,4,,,3,3,
6,2022,Cần bán,Quận 1,Bến Thành,Lý Tự Trọng,100,22.5,4,Đông - Nam,Đông - Nam,5,,,4,3,Sổ đỏ/ Sổ hồng
7,2022,Cần bán,Quận 1,Bến Thành,Lý Tự Trọng,68,26,4,,,,,,,,
8,2022,Cần bán,Quận 1,Nguyễn Cư Trinh,Nguyễn Trãi,66.4,15,4,,,,,,10,10,
9,2022,Cần bán,Quận 1,Tân Định,Nguyễn Văn Nguyễn,65.45,27,6,Đông - Bắc,,7,,,5,5,Sổ đỏ/ Sổ hồng
10,2022,Cần bán,Quận 1,Đa Kao,Nguyễn Bỉnh Khiêm,80,38,,,,,,,,,Sổ đỏ/ Sổ hồng
11,2022,Cần bán,Quận 1,Tân Định,Hoàng Sa,53.8,27,5,Tây - Bắc,Đông - Nam,6,Trống,3,8,6,Sổ đỏ/ Sổ hồng
12,2022,Cần bán,Quận 1,Tân Định,Trần Quang Khải,200,68,4,,,,,,,,
13,2022,Cần bán,Quận 1,Bến Thành,,38,18.9,6,,,,Cơ bản,,4,4,Sổ đỏ/ Sổ hồng
14,2022,Cần bán,Quận 1,Cô Giang,Hồ Hảo Hớn,69,27.5,4,,,20,,20,6,6,
15,2022,Cần bán,Quận 1,Bến Nghé,Lê Thánh Tôn,63,66,4,Tây - Bắc,,7,Đầy đủ,60,3,4,Sổ đỏ/ Sổ hồng
16,2022,Cần bán,Quận 1,Bến Nghé,Lê Thánh Tôn,92.4,120,8,,,,,,,,Sổ đỏ/ Sổ hồng
17,2022,Cần bán,Quận 1,Nguyễn Cư Trinh,Trần Hưng Đạo,160,73,7,,,,,,8,8,Sổ đỏ/ Sổ hồng
