STT,Năm,Nhu cầu,Quận,Phường,Đường,Diện tích - m2,Mức giá - Tỷ,Pháp lý,Mặt tiền,Đường vào,GPXD,Số lầu hiện tại,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất
1,2022,Cần bán,Quận 1,Bến Nghé,Lý Tự Trọng,240,205,Sổ đỏ/ Sổ hồng,,,,,,,,,
2,2022,Cần bán,Quận 1,Bến Thành,Lý Tự Trọng,240,200,,,,,,,,,,
3,2022,Cần bán,Quận 1,Nguyễn Cư Trinh,Trần Hưng Đạo,288,62,,,,,,,,,,
4,2022,Cần bán,Quận 1,Đa Kao,Võ Thị Sáu,240,57.4,,15,15,,,,,,,
5,2022,Cần bán,Quận 1,Đa Kao,Võ Thị Sáu,290,54,,,,,,,,,,
6,2022,Cần bán,Quận 1,Tân Định,,170,68,Sổ đỏ/ Sổ hồng,,,4,,,,,,
7,2022,Cần bán,Quận 1,Bến Thành,Lý Tự Trọng,236,200,Sổ đỏ/ Sổ hồng,12,18,1,,Bắc,,1,1,
8,2022,Cần bán,Quận 1,Đa Kao,Nguyễn Văn Giai,876,320,,15,,,,,,,,
9,2022,Cần bán,Quận 1,Bến Thành,Lý Tự Trọng,890,576,Sổ đỏ/ Sổ hồng,25,,,,,,,,
10,2022,Cần bán,Quận 1,Đa Kao,Nguyễn Văn Giai,876,299,Sổ đỏ/ Sổ hồng,15.3,,8,,,,,,
11,2022,Cần bán,Quận 1,Đa Kao,Nguyễn Thành Ý,260,120,,13,,1,,,,1,1,Đầy đủ
12,2022,Cần bán,Quận 1,Cầu Ông Lãnh,Nguyễn Công Trứ,180,65,,9,,,,,,,,
13,2022,Cần bán,Quận 1,Tân Định,Trần Quang Khải,450,290,Sổ đỏ/ Sổ hồng,15,20,,,,,,,
14,2022,Cần bán,Quận 1,Đa Kao,Mai Thị Lựu,284,82,Sổ đỏ/ Sổ hồng,11,,1,,,,,,
15,2022,Cần bán,Quận 1,Nguyễn Cư Trinh,Trần Hưng Đạo,288,62,Sổ đỏ/ Sổ hồng,12,,6,,,,,,
16,2022,Cần bán,Quận 1,Đa Kao,Nguyễn Thành Ý,238.39,120,Sổ đỏ/ Sổ hồng,12.55,,,,,,,,
17,2022,Cần bán,Quận 1,Tân Định,Hai Bà Trưng,182,33,Sổ đỏ/ Sổ hồng,7,,7,,,,,,
18,2022,Cần bán,Quận 1,Tân Định,Hai Bà Trưng,400,100,,9,,7,,,,,,
19,2022,Cần bán,Quận 1,Bến Nghé,Lý Tự Trọng,240,205,,12,,8,,,,,,
20,2022,Cần bán,Quận 1,Tân Định,Trần Nhật Duật,240,90,Sổ đỏ/ Sổ hồng,12,14,7,1,Tây - Bắc,Tây - Bắc,1,1,Trống
21,2022,Cần bán,Quận 1,Bùi Viện,Phạm Ngũ Lão,12203,660,Sổ đỏ/ Sổ hồng,55,,,,,,,,
22,2022,Cần bán,Quận 1,Tân Định,Huyền Quang,160,33,Sổ đỏ/ Sổ hồng,7,8,4,1,Đông - Nam,Đông - Nam,1,1,Trống
23,2022,Cần bán,Quận 1,Cô Giang,Võ Văn Kiệt,51,11,Sổ đỏ/ Sổ hồng,,,,,,,,,
24,2022,Cần bán,Quận 1,Đa Kao,Hai Bà Trưng,810,650,Sổ đỏ/ Sổ hồng,20,25,,,,,,,
25,2022,Cần bán,Quận 1,Đa Kao,Võ Thị Sáu,240,57,Sổ đỏ/ Sổ hồng,14,6,,,Đông - Nam,,,,
26,2022,Cần bán,Quận 1,Tân Định,Võ Thị Sáu,2157,2400,Sổ đỏ/ Sổ hồng,37,,25,,,,,,
27,2022,Cần bán,Quận 1,Nguyễn Thái Bình,Nguyễn Thái Bình,96,27.9,Sổ đỏ/ Sổ hồng,4,9,5,,Đông - Bắc,,,,
28,2022,Cần bán,Quận 1,Cầu Kho,Trần Hưng Đạo,253,65,,12,6,,,Tây - Bắc,,,,
29,2022,Cần bán,Quận 1,Bến Nghé,Hai Bà Trưng,585,450,,14.5,,,,,,,,
30,2022,Cần bán,Quận 2,An Phú,Lương Định Của,173,25.8,Sổ đỏ/ Sổ hồng,10,14,3,,,,,,
31,2022,Cần bán,Quận 2,Thảo Điền,Nguyễn Văn Hưởng,240,45.6,,10,,,,,,,,
32,2022,Cần bán,Quận 2,An Phú,Đường 11,485,119,Sổ đỏ/ Sổ hồng,16,12,,,Đông - Nam,,,,
33,2022,Cần bán,Quận 2,Bình An,Trần Não,105,2.5,Sổ đỏ/ Sổ hồng,5,20,,,,,,,
34,2022,Cần bán,Quận 2,An Phú,Nguyễn Duy Trinh,80,8.5,Sổ đỏ/ Sổ hồng,5,12,,,Nam,,,,
35,2022,Cần bán,Quận 2,Thảo Điền,Nguyễn Văn Hưởng,339,160,,,,,,Đông - Nam,,,,
36,2022,Cần bán,Quận 2,An Phú,Cao Đức Lân,80,18.8,Sổ đỏ/ Sổ hồng,4,18,,,Tây - Bắc,,,,
37,2022,Cần bán,Quận 2,Thạnh Mỹ Lợi,,103.8,18.06,Sổ đỏ/ Sổ hồng,4.3,10,,,Tây - Nam,,,,
38,2022,Cần bán,Quận 2,Bình Trưng Tây, Nguyễn Duy Trinh,57.5,5.1,Sổ đỏ/ Sổ hồng,5,4,,,Tây - Nam,,,,
39,2022,Cần bán,Quận 2,An Phú,,80,14,,,,,,Đông - Nam,,,,
40,2022,Cần bán,Quận 2,Thảo Điền,Đường 61,73,12.5,Sổ đỏ/ Sổ hồng,7.3,10,,,,,,,
41,2022,Cần bán,Quận 2,Thạnh Mỹ Lợi,Tỉnh lộ 25B,160,40,Sổ đỏ/ Sổ hồng,8,25,7,,,,,,
42,2022,Cần bán,Quận 2,Thạnh Mỹ Lợi,Nguyễn Văn Kỉnh,288,128,Sổ đỏ/ Sổ hồng,7.5,,,,,,,,
43,2022,Cần bán,Quận 2,Thạnh Mỹ Lợi,Tỉnh lộ 25B,189,57,Sổ đỏ/ Sổ hồng,10.5,25,7,,Tây - Bắc,,,,
44,2022,Cần bán,Quận 2,Thạnh Mỹ Lợi,,100,13.5,Sổ đỏ/ Sổ hồng,,,,,Đông - Bắc,,,,
45,2022,Cần bán,Quận 2,Cát Lái,Đường 10,91,6.4,Sổ đỏ/ Sổ hồng,5.5,,3,,,,,,
46,2022,Cần bán,Quận 2,An Phú,,80,8.5,Sổ đỏ/ Sổ hồng,5,12,,,Nam,,,,
47,2022,Cần bán,Quận 2,Thạnh Mỹ Lợi,Đường 49,161,25.56,Sổ đỏ/ Sổ hồng,7.5,12,,,Đông - Nam,,,,
48,2022,Cần bán,Quận 2,An Phú,Đồng Văn Cống,86,3.1,Sổ đỏ/ Sổ hồng,7.5,,,,,,,,
49,2022,Cần bán,Quận 2,Cát Lái,Nguyễn Thị Định,85,5.3,Sổ đỏ/ Sổ hồng,,,,,,,,,
